time,Tmin,Tmax
0.0,292.15,297.15
3600.0000000000073,292.15,297.15
7200.000000000007,292.15,297.15
10800.0,292.15,297.15
14400.0,292.15,297.15
18000.0,292.15,297.15
21600.0,292.15,297.15
25200.0,292.15,297.15
28800.0,294.15,295.15
32400.0,294.15,295.15
36000.0,294.15,295.15
39600.0,294.15,295.15
43200.0,294.15,295.15
46800.0,294.15,295.15
50400.0,294.15,295.15
54000.0,294.15,295.15
57600.0,294.15,295.15
61200.000000000015,292.15,297.15
64800.000000000015,292.15,297.15
68400.00000000001,292.15,297.15
72000.00000000001,292.15,297.15
75600.0,292.15,297.15
79200.0,292.15,297.15
82800.0,292.15,297.15
86400.0,292.15,297.15
90000.0,292.15,297.15
93600.0,292.15,297.15
97200.0,292.15,297.15
100800.0,292.15,297.15
104400.0,292.15,297.15
108000.0,292.15,297.15
111600.0,292.15,297.15
115200.0,294.15,295.15
118800.0,294.15,295.15
122400.0,294.15,295.15
126000.0,294.15,295.15
129600.0,294.15,295.15
133200.0,294.15,295.15
136800.0,294.15,295.15
140400.0,294.15,295.15
144000.0,294.15,295.15
147600.0,292.15,297.15
151200.0,292.15,297.15
154800.0,292.15,297.15
158400.0,292.15,297.15
162000.0,292.15,297.15
165600.0,292.15,297.15
169200.0,292.15,297.15
172800.0,292.15,297.15
176400.00000000003,292.15,297.15
180000.00000000003,292.15,297.15
183600.00000000003,292.15,297.15
187200.00000000003,292.15,297.15
190800.00000000003,292.15,297.15
194400.00000000003,292.15,297.15
198000.00000000003,292.15,297.15
201600.00000000003,294.15,295.15
205200.0,294.15,295.15
208800.0,294.15,295.15
212400.0,294.15,295.15
216000.0,294.15,295.15
219600.0,294.15,295.15
223200.0,294.15,295.15
226800.0,294.15,295.15
230400.0,294.15,295.15
234000.0,292.15,297.15
237600.0,292.15,297.15
241200.0,292.15,297.15
244800.0,292.15,297.15
248400.0,292.15,297.15
252000.0,292.15,297.15
255600.0,292.15,297.15
259200.0,292.15,297.15
